Running C:\Users\Ferdinand\source\repos\hasc\ex04\build\Release\scalar_product_async.exe
Run on (8 X 3492 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
-------------------------------------------------------------------------------------------------
Benchmark                                                       Time             CPU   Iterations
BM_scalar_product_async_unseq<4>/2097152/real_time           1.19 ms        0.000 ms          553
BM_scalar_product_async_unseq<4>/16777216/real_time          9.40 ms        0.000 ms           72
BM_scalar_product_async_unseq<4>/134217728/real_time         63.9 ms        0.000 ms           10
BM_scalar_product_async_unseq<4>/268435456/real_time          132 ms        0.000 ms            6
BM_scalar_product_async_unseq<8>/64/real_time               0.029 ms        0.020 ms        22487
BM_scalar_product_async_unseq<8>/512/real_time              0.030 ms        0.021 ms        23620
BM_scalar_product_async_unseq<8>/4096/real_time             0.033 ms        0.020 ms        21159
BM_scalar_product_async_unseq<8>/32768/real_time            0.057 ms        0.038 ms        11634
BM_scalar_product_async_unseq<8>/262144/real_time           0.147 ms        0.039 ms         4762
BM_scalar_product_async_unseq<8>/2097152/real_time          0.976 ms        0.022 ms          697
BM_scalar_product_async_unseq<8>/16777216/real_time          7.74 ms        0.000 ms           90
BM_scalar_product_async_unseq<8>/134217728/real_time         57.9 ms        0.000 ms           11
BM_scalar_product_async_unseq<8>/268435456/real_time          113 ms        0.000 ms            6
BM_scalar_product_packaged_task<2>/64/real_time             0.217 ms        0.111 ms         3096
BM_scalar_product_packaged_task<2>/512/real_time            0.217 ms        0.073 ms         3199
BM_scalar_product_packaged_task<2>/4096/real_time           0.224 ms        0.075 ms         3144
BM_scalar_product_packaged_task<2>/32768/real_time          0.226 ms        0.057 ms         3041
BM_scalar_product_packaged_task<2>/262144/real_time         0.313 ms        0.098 ms         2243
BM_scalar_product_packaged_task<2>/2097152/real_time         1.49 ms        0.131 ms          478
BM_scalar_product_packaged_task<2>/16777216/real_time        9.17 ms        0.000 ms           78
BM_scalar_product_packaged_task<2>/134217728/real_time       68.4 ms        0.000 ms           11
BM_scalar_product_packaged_task<2>/268435456/real_time        132 ms         3.12 ms            5
BM_scalar_product_packaged_task<4>/64/real_time             0.331 ms        0.152 ms         2061
BM_scalar_product_packaged_task<4>/512/real_time            0.330 ms        0.164 ms         2098
BM_scalar_product_packaged_task<4>/4096/real_time           0.334 ms        0.180 ms         2080
BM_scalar_product_packaged_task<4>/32768/real_time          0.334 ms        0.179 ms         2098
BM_scalar_product_packaged_task<4>/262144/real_time         0.372 ms        0.230 ms         1899
BM_scalar_product_packaged_task<4>/2097152/real_time         1.11 ms        0.258 ms          605
BM_scalar_product_packaged_task<4>/16777216/real_time        7.29 ms        0.336 ms           93
BM_scalar_product_packaged_task<4>/134217728/real_time       56.5 ms        0.000 ms           12
BM_scalar_product_packaged_task<4>/268435456/real_time        109 ms        0.000 ms            6
BM_scalar_product_packaged_task<8>/64/real_time             0.586 ms        0.398 ms         1021
BM_scalar_product_packaged_task<8>/512/real_time            0.590 ms        0.321 ms         1167
BM_scalar_product_packaged_task<8>/4096/real_time           0.583 ms        0.355 ms         1057
BM_scalar_product_packaged_task<8>/32768/real_time          0.585 ms        0.296 ms         1160
BM_scalar_product_packaged_task<8>/262144/real_time         0.619 ms        0.333 ms         1080
BM_scalar_product_packaged_task<8>/2097152/real_time         1.11 ms        0.479 ms          587
BM_scalar_product_packaged_task<8>/16777216/real_time        7.42 ms        0.510 ms           92
BM_scalar_product_packaged_task<8>/134217728/real_time       56.4 ms         1.30 ms           12
BM_scalar_product_packaged_task<8>/268435456/real_time        111 ms        0.000 ms            6
BM_scalar_product_openmp/64/real_time                       0.002 ms        0.002 ms       362354
BM_scalar_product_openmp/512/real_time                      0.001 ms        0.001 ms       438689
BM_scalar_product_openmp/4096/real_time                     0.002 ms        0.002 ms       319633
BM_scalar_product_openmp/32768/real_time                    0.008 ms        0.008 ms        88060
BM_scalar_product_openmp/262144/real_time                   0.051 ms        0.052 ms        10000
BM_scalar_product_openmp/2097152/real_time                  0.844 ms        0.810 ms          887
BM_scalar_product_openmp/16777216/real_time                  7.20 ms         7.09 ms           97
BM_scalar_product_openmp/134217728/real_time                 56.2 ms         56.0 ms           12
BM_scalar_product_openmp/268435456/real_time                  113 ms          112 ms            6
BM_scalar_product_tbb<2>/64/real_time                       0.003 ms        0.003 ms       261369
BM_scalar_product_tbb<2>/512/real_time                      0.004 ms        0.004 ms       196176
BM_scalar_product_tbb<2>/4096/real_time                     0.006 ms        0.006 ms       125260
BM_scalar_product_tbb<2>/32768/real_time                    0.018 ms        0.017 ms        39331
BM_scalar_product_tbb<2>/262144/real_time                   0.110 ms        0.111 ms         6363
BM_scalar_product_tbb<2>/2097152/real_time                   1.06 ms         1.05 ms          655
BM_scalar_product_tbb<2>/16777216/real_time                  8.37 ms         8.29 ms           81
BM_scalar_product_tbb<2>/134217728/real_time                 66.8 ms         67.2 ms           10
BM_scalar_product_tbb<2>/268435456/real_time                  132 ms          131 ms            5
BM_scalar_product_tbb<4>/64/real_time                       0.003 ms        0.003 ms       199036
BM_scalar_product_tbb<4>/512/real_time                      0.005 ms        0.005 ms       122993
BM_scalar_product_tbb<4>/4096/real_time                     0.007 ms        0.007 ms        96002
BM_scalar_product_tbb<4>/32768/real_time                    0.014 ms        0.015 ms        46143
BM_scalar_product_tbb<4>/262144/real_time                   0.071 ms        0.071 ms        10549
BM_scalar_product_tbb<4>/2097152/real_time                  0.760 ms        0.758 ms          928
BM_scalar_product_tbb<4>/16777216/real_time                  6.88 ms         6.83 ms          103
BM_scalar_product_tbb<4>/134217728/real_time                 54.0 ms         54.7 ms           12
BM_scalar_product_tbb<4>/268435456/real_time                  107 ms          107 ms            7
BM_scalar_product_tbb<8>/64/real_time                       0.004 ms        0.004 ms       158356
BM_scalar_product_tbb<8>/512/real_time                      0.008 ms        0.008 ms        83164
BM_scalar_product_tbb<8>/4096/real_time                     0.009 ms        0.010 ms        71452
BM_scalar_product_tbb<8>/32768/real_time                    0.015 ms        0.015 ms        45370
BM_scalar_product_tbb<8>/262144/real_time                   0.055 ms        0.054 ms        12716
BM_scalar_product_tbb<8>/2097152/real_time                  0.727 ms        0.715 ms          962
BM_scalar_product_tbb<8>/16777216/real_time                  7.22 ms         6.94 ms           99
BM_scalar_product_tbb<8>/134217728/real_time                 55.6 ms         54.1 ms           13
BM_scalar_product_tbb<8>/268435456/real_time                  111 ms          112 ms            6
